"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 11:01:16 PET 2019","Sat Jul 27 11:01:17 PET 2019","1856","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Agua mineral 600 ml"" in menu search field","I search ""Agua mineral 600 ml"" in menu search field",""
"passed","Mon Jul 29 21:48:15 PET 2019","Mon Jul 29 21:48:23 PET 2019","7605","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I confirm the address location","I confirm the address location",""
"skipped","Thu Jul 25 10:50:34 PET 2019","Thu Jul 25 10:50:34 PET 2019","0","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Papas bravas al curry"" in menu search field","I search ""Papas bravas al curry"" in menu search field",""
"broken","Mon Jul 22 09:47:42 PET 2019","Mon Jul 22 09:47:42 PET 2019","1","","Search restaurants Search restaurants by address","","Search restaurants Search restaurants by address","I select ""Montevideo"" as the department","I select ""Montevideo"" as the department",""
"skipped","Sun Jul 28 22:52:20 PET 2019","Sun Jul 28 22:52:20 PET 2019","0","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I verify all restaurants have the word ""<restaurant>"" in their name","I verify all restaurants have the word ""<restaurant>"" in their name",""
"passed","Mon Jul 29 21:48:23 PET 2019","Mon Jul 29 21:48:27 PET 2019","4406","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I filter by restaurants that accept credit card","I filter by restaurants that accept credit card",""
"passed","Mon Jul 29 21:48:13 PET 2019","Mon Jul 29 21:48:15 PET 2019","2135","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I choose an address option","I choose an address option",""
"broken","Mon Jul 22 09:47:40 PET 2019","Mon Jul 22 09:47:40 PET 2019","0","","Search restaurants Search restaurants by address","","Search restaurants Search restaurants by address","I select ""Maldonado"" as the department","I select ""Maldonado"" as the department",""
"passed","Sat Jul 27 11:21:19 PET 2019","Sat Jul 27 11:21:24 PET 2019","4887","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Pizzeta tranqui (32 cm)"" in menu search field","I search ""Pizzeta tranqui (32 cm)"" in menu search field",""
"broken","Mon Jul 22 09:47:35 PET 2019","Mon Jul 22 09:47:35 PET 2019","0","","Oreder a menu Order a menu","","Oreder a menu Order a menu","I see all menus under ""Mi pedido""","I see all menus under ""Mi pedido""",""
"skipped","Wed Jul 24 18:21:09 PET 2019","Wed Jul 24 18:21:09 PET 2019","0","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","Pause","Pause",""
"broken","Mon Jul 22 12:45:40 PET 2019","Mon Jul 22 12:45:40 PET 2019","1","","Performing a login Log in with correct credentials","","Performing a login Log in with correct credentials","I enter an address and a restaurant","I enter an address and a restaurant",""
"passed","Thu Jul 25 14:18:51 PET 2019","Thu Jul 25 14:18:52 PET 2019","1764","","Performing a login Log in with correct credentials","","Performing a login Log in with correct credentials","I appear logged in as ""Tomas""","I appear logged in as ""Tomas""",""
"broken","Wed Jul 24 09:46:17 PET 2019","Wed Jul 24 09:47:47 PET 2019","90007","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I choose an address if there is more than one option","I choose an address if there is more than one option",""
"passed","Sun Jul 28 11:40:14 PET 2019","Sun Jul 28 11:40:17 PET 2019","2670","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I confirm the address location","I confirm the address location",""
"passed","Thu Jul 25 14:18:36 PET 2019","Thu Jul 25 14:18:46 PET 2019","10176","","Performing a login Log in with correct credentials","","Performing a login Log in with correct credentials","I am on the home page","I am on the home page",""
"broken","Mon Jul 22 09:47:35 PET 2019","Mon Jul 22 09:47:35 PET 2019","0","","Oreder a menu Order a menu","","Oreder a menu Order a menu","I see the total is ""$456""","I see the total is ""$456""",""
"passed","Mon Jul 22 15:35:06 PET 2019","Mon Jul 22 15:35:06 PET 2019","48","","Performing a login Log in with correct credentials","","Performing a login Log in with correct credentials","I appear logged in as as ""Tomas""","I appear logged in as as ""Tomas""",""
"broken","Wed Jul 24 18:09:26 PET 2019","Wed Jul 24 18:09:28 PET 2019","1907","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Pizza con mozzarella"" in menu search field","I search ""Pizza con mozzarella"" in menu search field",""
"skipped","Mon Jul 29 21:48:54 PET 2019","Mon Jul 29 21:48:54 PET 2019","0","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I verify the order appears has a discount today and what percentage it is","I verify the order appears has a discount today and what percentage it is",""
"broken","Sun Jul 28 23:53:21 PET 2019","Sun Jul 28 23:54:51 PET 2019","90001","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I search two ""Tabla DI PARMA"" in menu search field","I search two ""Tabla DI PARMA"" in menu search field",""
"broken","Mon Jul 22 09:47:42 PET 2019","Mon Jul 22 09:47:42 PET 2019","0","","Search restaurants Search restaurants by address","","Search restaurants Search restaurants by address","I enter ""18 de Julio 1249"" as the address","I enter ""18 de Julio 1249"" as the address",""
"passed","Sat Jul 27 13:09:07 PET 2019","Sat Jul 27 13:09:11 PET 2019","3754","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search two ""Cerveza Corona 330 ml"" in menu search field","I search two ""Cerveza Corona 330 ml"" in menu search field",""
"passed","Mon Jul 29 21:48:13 PET 2019","Mon Jul 29 21:48:13 PET 2019","522","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I enter an address ""Plaza Cagancha 1234"" and a restaurant ""La Pasiva""","I enter an address ""Plaza Cagancha 1234"" and a restaurant ""La Pasiva""",""
"skipped","Thu Jul 25 09:48:38 PET 2019","Thu Jul 25 09:48:38 PET 2019","0","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Frankfruter con panceta"" in menu search field","I search ""Frankfruter con panceta"" in menu search field",""
"passed","Wed Jul 24 10:29:35 PET 2019","Wed Jul 24 10:29:35 PET 2019","290","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I place ""Chajá"" in the order","I place ""Chajá"" in the order",""
"broken","Mon Jul 22 09:47:42 PET 2019","Mon Jul 22 09:47:42 PET 2019","1","","Search restaurants Search restaurants by address","","Search restaurants Search restaurants by address","I can see restaurants in the list","I can see restaurants in the list",""
"passed","Sun Jul 28 22:50:50 PET 2019","Sun Jul 28 22:50:50 PET 2019","584","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I enter an address ""<address>"" and a restaurant ""<restaurant>""","I enter an address ""<address>"" and a restaurant ""<restaurant>""",""
"passed","Sun Jul 28 11:40:12 PET 2019","Sun Jul 28 11:40:14 PET 2019","1639","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I choose an address option","I choose an address option",""
"passed","Mon Jul 29 21:48:27 PET 2019","Mon Jul 29 21:48:50 PET 2019","23203","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I choose a restaurant option","I choose a restaurant option",""
"passed","Mon Jul 29 21:50:31 PET 2019","Mon Jul 29 21:50:36 PET 2019","5129","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","I filter by ""Picadas"" category","I filter by ""Picadas"" category",""
"broken","Mon Jul 29 21:48:50 PET 2019","Mon Jul 29 21:48:54 PET 2019","3183","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I search two ""Húngara porteña"" in menu search field","I search two ""Húngara porteña"" in menu search field",""
"passed","Mon Jul 29 21:48:55 PET 2019","Mon Jul 29 21:48:58 PET 2019","2644","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I enter an address ""Plaza Cagancha 1234"" and a restaurant ""Gourmet""","I enter an address ""Plaza Cagancha 1234"" and a restaurant ""Gourmet""",""
"passed","Sun Jul 28 11:40:04 PET 2019","Sun Jul 28 11:40:12 PET 2019","8103","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I am on the home page","I am on the home page",""
"skipped","Thu Jul 25 12:28:07 PET 2019","Thu Jul 25 12:28:07 PET 2019","0","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Medio metro de pizza común"" in menu search field","I search ""Medio metro de pizza común"" in menu search field",""
"broken","Mon Jul 22 11:31:08 PET 2019","Mon Jul 22 11:31:08 PET 2019","1","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I enter ""Plaza Cagancha 1234"" as the address restaurant","I enter ""Plaza Cagancha 1234"" as the address restaurant",""
"passed","Sun Jul 28 11:40:17 PET 2019","Sun Jul 28 11:40:18 PET 2019","1260","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I filter by restaurants that accept credit card","I filter by restaurants that accept credit card",""
"passed","Mon Jul 22 09:47:40 PET 2019","Mon Jul 22 09:47:42 PET 2019","2033","","Search restaurants Search restaurants by address","","Search restaurants Search restaurants by address","I am on the home page","I am on the home page",""
"passed","Mon Jul 22 17:17:12 PET 2019","Mon Jul 22 17:17:14 PET 2019","1658","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","Choose an address if there is more than one option","Choose an address if there is more than one option",""
"passed","Sun Jul 28 11:40:29 PET 2019","Sun Jul 28 11:40:29 PET 2019","92","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I verify the price of the order","I verify the price of the order",""
"broken","Wed Jul 24 10:27:48 PET 2019","Wed Jul 24 10:27:48 PET 2019","2","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I place 'Chajá' in the order","I place 'Chajá' in the order",""
"broken","Wed Jul 24 17:30:52 PET 2019","Wed Jul 24 17:30:52 PET 2019","2","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I place two ""Pizza con mozzarella"" orders","I place two ""Pizza con mozzarella"" orders",""
"broken","Mon Jul 22 09:47:35 PET 2019","Mon Jul 22 09:47:35 PET 2019","1","","Oreder a menu Order a menu","","Oreder a menu Order a menu","I see the subtotal is ""$436""","I see the subtotal is ""$436""",""
